I210911 19:13:14.621511 365 gossip/client.go:129 ⋮ [n3] 76  closing client to n1 (‹localhost:26257›): stopping outgoing client to n1 (‹localhost:26257›); already have incoming
I210911 19:13:14.621631 337 1@gossip/gossip.go:1505 ⋮ [n3] 77  node has connected to cluster via gossip
I210911 19:13:14.622098 337 kv/kvserver/stores.go:269 ⋮ [n3] 78  wrote 2 node addresses to persistent storage
I210911 19:13:14.670332 640 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r26/3:{-}] 79  applying snapshot of type INITIAL [id=‹88b7820e› index=27]
I210911 19:13:14.674541 640 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r26/3:‹/NamespaceTable/{30-Max}›] 80  applied snapshot of type INITIAL [‹total=4ms›‹›‹ingestion=6@3ms›id=‹88b7820e› index=27]
I210911 19:13:14.735891 684 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r7/3:{-}] 81  applying snapshot of type INITIAL [id=‹aa695f64› index=30]
I210911 19:13:14.739234 684 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r7/3:‹/Table/1{1-2}›] 82  applied snapshot of type INITIAL [‹total=3ms›‹›‹ingestion=6@3ms›id=‹aa695f64› index=30]
I210911 19:13:14.781084 727 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r19/3:{-}] 83  applying snapshot of type INITIAL [id=‹e37401ad› index=21]
I210911 19:13:14.785211 727 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r19/3:‹/Table/2{3-4}›] 84  applied snapshot of type INITIAL [‹total=4ms›‹›‹ingestion=6@4ms›id=‹e37401ad› index=21]
I210911 19:13:14.822959 758 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r17/3:{-}] 85  applying snapshot of type INITIAL [id=‹2d0c476e› index=26]
I210911 19:13:14.826605 758 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r17/3:‹/Table/2{1-2}›] 86  applied snapshot of type INITIAL [‹total=4ms›‹›‹ingestion=6@3ms›id=‹2d0c476e› index=26]
I210911 19:13:14.866159 787 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r31/3:{-}] 87  applying snapshot of type INITIAL [id=‹a5f3c883› index=20]
I210911 19:13:14.870092 787 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r31/3:‹/Table/3{5-6}›] 88  applied snapshot of type INITIAL [‹total=4ms›‹›‹ingestion=6@3ms›id=‹a5f3c883› index=20]
I210911 19:13:14.908886 817 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r35/3:{-}] 89  applying snapshot of type INITIAL [id=‹718671c5› index=25]
I210911 19:13:14.913537 817 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r35/3:‹/Table/{39-40}›] 90  applied snapshot of type INITIAL [‹total=5ms›‹›‹ingestion=6@4ms›id=‹718671c5› index=25]
I210911 19:13:14.961130 854 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r27/3:{-}] 91  applying snapshot of type INITIAL [id=‹165f1011› index=20]
I210911 19:13:14.964479 854 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r27/3:‹/{NamespaceTab…-Table/32}›] 92  applied snapshot of type INITIAL [‹total=3ms›‹›‹ingestion=6@3ms›id=‹165f1011› index=20]
I210911 19:13:15.006773 884 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r11/3:{-}] 93  applying snapshot of type INITIAL [id=‹baeed55f› index=20]
I210911 19:13:15.054066 884 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r11/3:‹/Table/1{5-6}›] 94  applied snapshot of type INITIAL [‹total=47ms›‹›‹ingestion=6@47ms›id=‹baeed55f› index=20]
I210911 19:13:15.146223 927 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r3/3:{-}] 95  applying snapshot of type INITIAL [id=‹47586e57› index=47]
I210911 19:13:15.149575 927 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r3/3:‹/System/{NodeLive…-tsd}›] 96  applied snapshot of type INITIAL [‹total=3ms›‹›‹ingestion=6@3ms›id=‹47586e57› index=47]
I210911 19:13:15.191136 967 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r9/3:{-}] 97  applying snapshot of type INITIAL [id=‹795837ee› index=105]
I210911 19:13:15.195562 967 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r9/3:‹/Table/1{3-4}›] 98  applied snapshot of type INITIAL [‹total=4ms›‹›‹ingestion=6@4ms›id=‹795837ee› index=105]
I210911 19:13:15.328253 998 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r30/3:{-}] 99  applying snapshot of type INITIAL [id=‹b0077fd7› index=22]
I210911 19:13:15.334102 998 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r30/3:‹/Table/3{4-5}›] 100  applied snapshot of type INITIAL [‹total=6ms›‹›‹ingestion=6@5ms›id=‹b0077fd7› index=22]
I210911 19:13:15.352623 1021 gossip/client.go:124 ⋮ [n3] 101  started gossip client to n0 (‹localhost:26258›)
I210911 19:13:15.882671 518 server/diagnostics/update_checker.go:144 ⋮ [n3] 102  a new version is available: ‹21.1.8›, details: ‹https://www.cockroachlabs.com/docs/releases/v21.1.8.html›
I210911 19:13:16.649142 1160 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r6/3:{-}] 103  applying snapshot of type INITIAL [id=‹8f1155da› index=38]
I210911 19:13:16.660444 1160 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r6/3:‹/Table/{SystemCon…-11}›] 104  applied snapshot of type INITIAL [‹total=11ms›‹›‹ingestion=6@10ms›id=‹8f1155da› index=38]
I210911 19:13:18.638391 1318 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r25/3:{-}] 105  applying snapshot of type INITIAL [id=‹391f3829› index=21]
I210911 19:13:18.645448 1318 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r25/3:‹/{Table/29-NamespaceTab…}›] 106  applied snapshot of type INITIAL [‹total=7ms›‹›‹ingestion=6@6ms›id=‹391f3829› index=21]
I210911 19:13:19.608850 1406 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r23/2:{-}] 107  applying snapshot of type INITIAL [id=‹0b3de7bc› index=17]
I210911 19:13:19.614617 1406 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r23/2:‹/Table/2{7-8}›] 108  applied snapshot of type INITIAL [‹total=6ms›‹›‹ingestion=6@5ms›id=‹0b3de7bc› index=17]
I210911 19:13:20.636973 1493 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r20/3:{-}] 109  applying snapshot of type INITIAL [id=‹5a7b8e40› index=21]
I210911 19:13:20.642293 1493 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r20/3:‹/Table/2{4-5}›] 110  applied snapshot of type INITIAL [‹total=5ms›‹›‹ingestion=6@5ms›id=‹5a7b8e40› index=21]
I210911 19:13:21.652320 1576 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r14/3:{-}] 111  applying snapshot of type INITIAL [id=‹d4240ee4› index=21]
I210911 19:13:21.658429 1576 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r14/3:‹/Table/1{8-9}›] 112  applied snapshot of type INITIAL [‹total=6ms›‹›‹ingestion=6@6ms›id=‹d4240ee4› index=21]
I210911 19:13:22.636739 1659 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r2/3:{-}] 113  applying snapshot of type INITIAL [id=‹31e58aeb› index=39]
I210911 19:13:22.641291 1659 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r2/3:‹/System/NodeLiveness{-Max}›] 114  applied snapshot of type INITIAL [‹total=5ms›‹›‹ingestion=6@4ms›id=‹31e58aeb› index=39]
I210911 19:13:23.608023 1747 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r13/2:{-}] 115  applying snapshot of type INITIAL [id=‹bd569484› index=17]
I210911 19:13:23.614504 1747 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r13/2:‹/Table/1{7-8}›] 116  applied snapshot of type INITIAL [‹total=6ms›‹›‹ingestion=6@6ms›id=‹bd569484› index=17]
I210911 19:13:24.360775 383 2@server/status/runtime.go:569 ⋮ [n3] 117  runtime stats: 140 MiB RSS, 211 goroutines (stacks: 2.8 MiB), 34 MiB/50 MiB Go alloc/total (heap fragmentation: 3.9 MiB, heap reserved: 1.6 MiB, heap released: 22 MiB), 5.0 MiB/6.6 MiB CGO alloc/total (0.0 CGO/sec), 0.0/0.0 %(u/s)time, 0.0 %gc (0x), 1.6 MiB/1.6 MiB (r/w)net
I210911 19:13:25.677812 1907 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r1/3:{-}] 118  applying snapshot of type INITIAL [id=‹ba3e2b01› index=191]
I210911 19:13:25.685098 1907 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r1/3:‹/{Min-System/NodeL…}›] 119  applied snapshot of type INITIAL [‹total=7ms›‹›‹ingestion=6@6ms›id=‹ba3e2b01› index=191]
I210911 19:13:27.648597 2061 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r21/3:{-}] 120  applying snapshot of type INITIAL [id=‹8fbe66a2› index=21]
I210911 19:13:27.656510 2061 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r21/3:‹/Table/2{5-6}›] 121  applied snapshot of type INITIAL [‹total=8ms›‹›‹ingestion=6@6ms›id=‹8fbe66a2› index=21]
I210911 19:13:28.626129 2175 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r15/2:{-}] 122  applying snapshot of type INITIAL [id=‹d7962039› index=17]
I210911 19:13:28.636484 2175 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r15/2:‹/Table/{19-20}›] 123  applied snapshot of type INITIAL [‹total=10ms›‹›‹ingestion=6@8ms›id=‹d7962039› index=17]
I210911 19:13:29.664535 2263 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r34/3:{-}] 124  applying snapshot of type INITIAL [id=‹70a877df› index=21]
I210911 19:13:29.670436 2263 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r34/3:‹/Table/3{8-9}›] 125  applied snapshot of type INITIAL [‹total=6ms›‹›‹ingestion=6@5ms›id=‹70a877df› index=21]
I210911 19:13:33.624808 2543 kv/kvserver/replica_raftstorage.go:845 ⋮ [n3,s3,r18/2:{-}] 126  applying snapshot of type INITIAL [id=‹8825df0c› index=17]
I210911 19:13:33.635944 2543 kv/kvserver/replica_raftstorage.go:866 ⋮ [n3,s3,r18/2:‹/Table/2{2-3}›] 127  applied snapshot of type INITIAL [‹total=11ms›‹›‹ingestion=6@10ms›id=‹8825df0c› index=17]
I210911 19:13:34.360122 379 kv/kvserver/store.go:2674 ⋮ [n3,s3] 128  
I210911 19:13:34.360122 379 kv/kvserver/store.go:2674 ⋮ [n3,s3] 128 +__level_____count____size___score______in__ingest(sz_cnt)____move(sz_cnt)___write(sz_cnt)____read___r-amp___w-amp
I210911 19:13:34.360122 379 kv/kvserver/store.go:2674 ⋮ [n3,s3] 128 +    WAL         1   180 K       -   716 K       -       -       -       -   727 K       -       -       -     1.0
I210911 19:13:34.360122 379 kv/kvserver/store.go:2674 ⋮ [n3,s3] 128 +      0         0     0 B    0.00   547 K   141 K     106     0 B       0   152 K      25     0 B       0     0.3
I210911 19:13:34.360122 379 kv/kvserver/store.go:2674 ⋮ [n3,s3] 128 +      1         0     0 B    0.00     0 B     0 B       0     0 B       0     0 B       0     0 B       0     0.0
I210911 19:13:34.360122 379 kv/kvserver/store.go:2674 ⋮ [n3,s3] 128 +      2         0     0 B    0.00     0 B     0 B       0     0 B       0     0 B       0     0 B       0     0.0
I210911 19:13:34.360122 379 kv/kvserver/store.go:2674 ⋮ [n3,s3] 128 +      3         0     0 B    0.00     0 B     0 B       0     0 B       0     0 B       0     0 B       0     0.0
I210911 19:13:34.360122 379 kv/kvserver/store.go:2674 ⋮ [n3,s3] 128 +      4         0     0 B    0.00     0 B     0 B       0     0 B       0     0 B       0     0 B       0     0.0
I210911 19:13:34.360122 379 kv/kvserver/store.go:2674 ⋮ [n3,s3] 128 +      5         0     0 B    0.00     0 B     0 B       0     0 B       0     0 B       0     0 B       0     0.0
I210911 19:13:34.360122 379 kv/kvserver/store.go:2674 ⋮ [n3,s3] 128 +      6         1   115 K       -   382 K    90 K      44   1.4 K       1   2.3 M      63   2.6 M       1     6.3
I210911 19:13:34.360122 379 kv/kvserver/store.go:2674 ⋮ [n3,s3] 128 +  total         1   115 K       -   958 K   231 K     150   1.4 K       1   3.4 M      88   2.6 M       1     3.7
I210911 19:13:34.360122 379 kv/kvserver/store.go:2674 ⋮ [n3,s3] 128 +  flush        25
